"","x","y","z"
"X1633",0.0289855072463768,0.536231884057971,0.520708979856146
"X198",0.376811594202899,0.420289855072464,0.494746600767358
"X1926",0.391304347826087,0.115942028985507,0.411665837477286
"X379",0.173913043478261,0.579710144927536,0.459242198335198
"X1558",0.869565217391304,0.521739130434783,0.495787942954146
"X376",0.376811594202899,0.188405797101449,0.476563770625866
"X720",0.768115942028985,0.478260869565217,0.515325285882776
"X730",0.710144927536232,0.0144927536231884,0.888927966297618
"X4372",0.681159420289855,0.811594202898551,0.35613836298076
"X3361",0.318840579710145,0.260869565217391,0.604260642198016
"X3926",0.623188405797101,0.304347826086956,0.486481234050003
"X3184",0.985507246376812,0.550724637681159,0.532281725545805
"X1034",0.942028985507246,0.0579710144927536,0.26999175753791
"X2214",0.36231884057971,0.710144927536232,0.487116076862458
"X3427",0.27536231884058,0.739130434782609,0.334163404797659
"X3930",0.782608695652174,0.304347826086956,0.641763792691094
"X3922",0.956521739130435,0.63768115942029,0.569358277302905
"X956",0.449275362318841,0.202898550724638,0.304076282420998
"X2872",0.0434782608695652,0.434782608695652,0.467857833935263
"X2053",0.666666666666667,0.159420289855072,0.618486441883321
"X3044",0.971014492753623,0.927536231884058,0.816474823190488
"X4199",0.536231884057971,0.840579710144928,0.758232544962879
"X2005",0.811594202898551,0.753623188405797,0.337152820887919
"X1531",0.289855072463768,0.768115942028985,0.328645983149586
"X1505",0.0724637681159421,0.869565217391304,0.629088077263268
"X2354",0.478260869565217,0,0.0155258765775236
"X1611",1,0.27536231884058,0.335817221442083
"X1063",0.478260869565217,0.347826086956522,0.392481964169406
"X4899",0.739130434782609,0.768115942028985,0.297223095764978
"X2566",0.159420289855072,0.652173913043478,0.434849490762892
"X471",0.536231884057971,0.449275362318841,0.467372024590309
"X522",0.159420289855072,0.927536231884058,0.270532126680825
"X2733",0.376811594202899,0.521739130434783,0.501420187180083
"X3235",0.115942028985507,0.942028985507246,0.457333101144902
"X2562",0.492753623188406,0.318840579710145,0.366125715601914
"X1520",0.318840579710145,0.623188405797101,0.449503189351237
"X2321",0.608695652173913,0.420289855072464,0.485030251823625
"X4099",0.202898550724638,0.0869565217391304,0.839514572082105
"X4029",0.463768115942029,0.0144927536231884,0.0666357046080445
"X1271",0.159420289855072,0.333333333333333,0.571844177178758
"X2879",0.811594202898551,0.101449275362319,0.792348954462715
"X4840",0.942028985507246,0.463768115942029,0.485688744453828
"X2812",0.27536231884058,0.0724637681159421,0.853621819983101
"X945",0.985507246376812,0.72463768115942,0.653438685259634
"X3671",0.405797101449275,0.159420289855072,0.378632247643485
"X595",0.840579710144928,0.217391304347826,0.631406753924261
"X4218",0.478260869565217,0.753623188405797,0.690314464315371
"X1246",0.536231884057971,0.188405797101449,0.269967895018265
"X1469",0.739130434782609,0.579710144927536,0.445237739799433
"X3082",0.318840579710145,0.797101449275362,0.364540424162492
"X767",0.681159420289855,0.27536231884058,0.596989517385358
"X501",0.0144927536231884,0.565217391304348,0.541609606180511
"X2076",0.188405797101449,0.391304347826087,0.564617375203805
"X183",0.91304347826087,0.478260869565217,0.496284983113753
"X4545",0.826086956521739,0.304347826086956,0.604883553855811
"X2407",0.463768115942029,0.36231884057971,0.409249265655487
"X1717",0.0144927536231884,0.347826086956522,0.400141492153159
